id,Word,Part of Speech,Level,Topic_raw
500000480,bad-tempered,020000001,021000004,People
500000481,bag,020000003,021000001,Appearance; Leisure
500000482,baggage,020000003,021000003,Travel
500000483,bake,020000004,021000002,Food and drink
500000484,baker,020000003,021000003,Leisure
500000485,bakery,020000003,021000003,Leisure
500000486,balance,020000003,021000003,Health
500000487,balance,020000004,021000004,Health
500000488,balanced,020000001,021000004,Food and drink
500000489,balcony,020000003,021000002,Culture; Homes and buildings
500000490,bald,020000001,021000003,Appearance
500000491,balky,020000001,021000004,Notions
500000492,ball,020000003,021000001,Appearance; Leisure; Sport
500000493,ballad,020000003,021000004,Culture
500000494,ballet,020000003,021000004,Culture
500000495,balloon,020000003,021000002,Leisure; Travel
500000496,ballot,020000003,021000004,Politics and society
500000497,ban,020000003,021000004,Functions
500000498,ban,020000004,021000004,Functions
500000499,banana,020000003,021000001,Food and drink
500000500,band,020000003,021000001,Culture; People
500000501,bandage,020000003,021000003,Health
500000502,bang,020000003,021000003,Appearance
500000503,bang,020000004,021000003,Health
500000504,bank,020000003,021000001,The natural world; Travel
500000505,bank,020000004,021000002,The natural world; Travel
500000506,bank account,020000003,021000003,Travel
500000507,banker,020000003,021000004,People; Work and business
500000508,banking,020000003,021000002,Travel; Work and business
500000509,bankrupt,020000004,021000004,Work and business
500000510,bankruptcy,020000003,021000004,Politics and society
500000511,bar,020000003,021000001,Culture; Food and drink; Politics and society
500000512,bar,020000004,021000003,Culture; Food and drink; Politics and society
500000513,barbecue,020000003,021000002,Food and drink; Homes and buildings
500000514,barbecue,020000004,021000003,Food and drink
500000515,barber,020000003,021000002,Appearance; Leisure
500000516,barbershop,020000003,021000004,Homes and buildings; Travel
500000517,bare,020000001,021000003,Work and business
500000518,bare,020000004,021000004,Work and business
500000519,barely,020000002,021000003,Notions
500000520,bargain,020000003,021000002,Functions; Leisure
500000521,bargain,020000004,021000004,Functions; Leisure
500000522,bark,020000003,021000003,Animals; The natural world
500000523,bark,020000004,021000004,Animals
500000524,barley,020000003,021000004,Food and drink; The natural world
500000525,barman,020000003,021000003,People; Work and business
500000526,barn,020000003,021000004,Homes and buildings; The natural world
500000527,barometer,020000003,021000004,The natural world
500000528,barrel,020000003,021000003,Leisure
500000529,barren,020000001,021000004,Notions; The natural world
500000530,barrier,020000003,021000004,Politics and society
500000531,bartender,020000003,021000004,People; Work and business
500000532,base,020000003,021000002,Politics and society; Sport
500000533,base,020000004,021000003,Politics and society; Sport
