コンセプト（学習する文字）,ユニット,コンセプト属性：難易度,部首,コンセプト属性：画数,コンセプト属性：音読み,コンセプト属性：訓読み,コンセプト属性：,学年(漢検),漢検,学年
逃,漢字,N3,辵,9,トウ,に(げる)・のが(す),,,,
途,漢字,N3,辵,10,ト,-,,,,
遅,漢字,N3,辵,12,チ,おく(れる)・おそ(い),,,,
違,漢字,N3,辵,13,イ,ちが(う),,,,
迅,漢字,N1,辵,6,ジン,-,,,,
迫,漢字,N1,辵,8,ハク,せま(る),,,,
迭,漢字,N1,辵,8,テツ,-,,,,
透,漢字,N1,辵,10,トウ,す(く)・す(かす)・す(ける),,,,
逐,漢字,N1,辵,10,チク,-,,,,
逓,漢字,N1,辵,10,テイ,-,,,,
逝,漢字,N1,辵,10,セイ,ゆ(く)・い(く),,,,
逮,漢字,N1,辵,11,タイ,-,,,,
逸,漢字,N1,辵,11,イツ,そ(れる)・そ(らす),,,,
遂,漢字,N1,辵,12,スイ,と(げる),,,,
遇,漢字,N1,辵,12,グウ,-,,,,
遍,漢字,N1,辵,12,ヘン,あまね(く) ,,,,
遣,漢字,N1,辵,13,ケン,つか(う)・つか(わす),,,,
遭,漢字,N1,辵,14,ソウ,あ(う),,,,
遮,漢字,N1,辵,14,シャ,さえぎ(る),,,,
遵,漢字,N1,辵,15,ジュン,-,,,,
遷,漢字,N1,辵,15,セン,うつ(る)、うつ(す)　,,,,
避,漢字,N1,辵,16,ヒ,さ(ける),,,,
還,漢字,N1,辵,16,カン,-,,,,
